cell_name	feature	corr_value
Phloem..CC.	AT1G75394	0.1383895956775572
Phloem..CC.	AT1G10380	0.10827116621242612
Phloem..CC.	AT5G04080	0.10799561180103352
Phloem..CC.	AT5G09220	0.10664543362320614
Phloem..CC.	AT4G19840	0.10416095687880852
Phloem..CC.	AT5G26146	0.10287355550866832
Phloem..CC.	AT1G62380	0.10087952601710802
Phloem..CC.	AT1G75820	0.09520297072649794
Phloem..CC.	AT1G23530	0.0930873832279882
Phloem..CC.	AT2G31550	0.09308368485770846
Phloem..CC.	AT5G06850	0.09280460155248962
Phloem..CC.	AT5G02600	0.0921847291554186
Phloem..CC.	AT4G27450	0.09005980045075948
Phloem..CC.	AT3G03505	0.08841220851635978
Phloem..CC.	AT5G64240	0.08803749715570111
Phloem..CC.	AT1G22710	0.08695594780628993
Phloem..CC.	AT5G20830	0.08520200582568521
Phloem..CC.	AT4G00670	0.08516105480784843
Phloem..CC.	AT5G02865	0.08127533588087561
Phloem..CC.	AT5G57350	0.0806015309162187
Phloem..CC.	AT5G27690	0.07944030072210011
Phloem..CC.	AT5G42146	0.0790125508275825
Phloem..CC.	AT5G22090	0.07832698773101125
Phloem..CC.	AT1G18880	0.07740072787870578
Phloem..CC.	AT5G43380	0.0772115520333595
Phloem..CC.	AT1G04453	0.07708943594590259
Phloem..CC.	AT2G01390	0.07658826995933789
Phloem..CC.	AT1G67870	0.07589296554846489
Phloem..CC.	AT2G16740	0.07467247438961014
Phloem..CC.	AT2G27550	0.07338395130771365
Phloem..CC.	AT4G20240	0.0730139296169902
Phloem..CC.	AT4G36410	0.06861877803910581
Phloem..CC.	AT1G31770	0.06840613381399578
Phloem..CC.	AT5G59090	0.0678117501991435
Phloem..CC.	AT3G15650	0.0659021631598608
Phloem..CC.	AT4G16480	0.06553621778207908
Phloem..CC.	AT1G69572	0.06504122014141063
Phloem..CC.	AT5G53120	0.06411831919301728
Phloem..CC.	AT2G03500	0.06400223362441466
Phloem..CC.	AT1G12010	0.06356304384579971
Phloem..CC.	AT5G50720	0.06350344418721597
Phloem..CC.	AT5G65280	0.06311026240946141
Phloem..CC.	AT4G01600	0.06252355133560067
Phloem..CC.	AT3G03270	0.061527923196405786
Phloem..CC.	AT1G71870	0.06117652776528281
Phloem..CC.	AT4G22212	0.05972432130599515
Phloem..CC.	AT1G06830	0.058801063273576315
Phloem..CC.	AT1G07407	0.058506855362823414
Phloem..CC.	AT3G60490	0.057562390796809325
Phloem..CC.	AT2G25685	0.05688506786974747
Phloem..CC.	AT5G21910	0.05640889176132051
Phloem..CC.	AT3G61210	0.05587740533883865
Phloem..CC.	AT4G25010	0.055779959379331036
Phloem..CC.	AT3G49220	0.05433623641138458
Phloem..CC.	AT4G15700	0.05416948848736757
